timestamp,level,session_id,event,step_id,user_id,status,message,source_ip,target,_line_number,ts_epoch_ms,ts_hour,ts_minute,ts_second,ts_millisecond,ts_dayofweek,ts_is_weekend,ts_is_business_hours,source_ip_int,source_ip_is_internal,prev_ts,delta_ms,prev_step,step_increment_normal,step_gap,step_jump,step_reverse,simultaneous_event,expected_step,step_event_mismatch,delta_too_fast,delta_too_slow,has_error_keyword,message_length,message_unusual_length,user_multi_session,ip_multi_session,level_freq,level_processed,level_is_rare,event_freq,event_processed,event_is_rare,status_freq,status_processed,status_is_rare,target_freq,target_processed,target_is_rare,user_id_freq,source_ip_freq
2025-09-16 13:35:00+00:00,INFO,a5b4c3d2e1f0,login_attempt,1,user1,success,Login process initiated successfully,203.0.113.1,/api/auth/flow,1,1758029700000,13,35,0,0,1,0,1,3405803777,1,,0.0,,1,1,0,0,1,1.0,0,1,0,0,36,0,0,0,11,INFO,0,2,login_attempt,0,10,success,0,11,/api/auth/flow,0,5,5
2025-09-16 13:35:01+00:00,INFO,a5b4c3d2e1f0,message_validation,2,user1,success,Message format is valid,203.0.113.1,/api/auth/flow,2,1758029701000,13,35,1,0,1,0,1,3405803777,1,2025-09-16 13:35:00+00:00,1000.0,1,1,1,0,0,0,2.0,0,0,0,0,23,0,0,0,11,INFO,0,2,message_validation,0,10,success,0,11,/api/auth/flow,0,5,5
2025-09-16 13:35:02+00:00,INFO,a5b4c3d2e1f0,credential_validation,3,user1,success,Credentials are valid,203.0.113.1,/api/auth/flow,3,1758029702000,13,35,2,0,1,0,1,3405803777,1,2025-09-16 13:35:01+00:00,1000.0,2,1,1,0,0,0,3.0,0,0,0,0,21,0,0,0,11,INFO,0,1,RARE,1,10,success,0,11,/api/auth/flow,0,5,5
2025-09-16 13:35:03+00:00,INFO,a5b4c3d2e1f0,business_process,4,user1,success,Business logic executed,203.0.113.1,/api/auth/flow,4,1758029703000,13,35,3,0,1,0,1,3405803777,1,2025-09-16 13:35:02+00:00,1000.0,3,1,1,0,0,0,4.0,0,0,0,0,23,0,0,0,11,INFO,0,2,business_process,0,10,success,0,11,/api/auth/flow,0,5,5
2025-09-16 13:35:04+00:00,INFO,a5b4c3d2e1f0,response_return,5,user1,success,Login success response returned,203.0.113.1,/api/auth/flow,5,1758029704000,13,35,4,0,1,0,1,3405803777,1,2025-09-16 13:35:03+00:00,1000.0,4,1,1,0,0,0,5.0,0,0,0,0,31,0,0,0,11,INFO,0,2,response_return,0,10,success,0,11,/api/auth/flow,0,5,5
2025-09-16 13:36:00+00:00,INFO,f1e2d3c4b5a6,login_attempt,1,user2,fail,ERROR: invalid_credentials,203.0.113.2,/api/auth/flow,6,1758029760000,13,36,0,0,1,0,1,3405803778,1,,0.0,,1,1,0,0,1,1.0,0,1,0,1,26,0,0,0,11,INFO,0,2,login_attempt,0,1,RARE,1,11,/api/auth/flow,0,1,1
2025-09-16 13:37:00+00:00,INFO,x9y8z7w6v5u4,token_login_attempt,1,user3,success,Token login process initiated,203.0.113.3,/api/auth/flow,7,1758029820000,13,37,0,0,1,0,1,3405803779,1,,0.0,,1,1,0,0,1,,0,1,0,0,29,0,0,0,11,INFO,0,1,RARE,1,10,success,0,11,/api/auth/flow,0,5,5
2025-09-16 13:37:01+00:00,INFO,x9y8z7w6v5u4,message_validation,2,user3,success,Request message verified,203.0.113.3,/api/auth/flow,8,1758029821000,13,37,1,0,1,0,1,3405803779,1,2025-09-16 13:37:00+00:00,1000.0,1,1,1,0,0,0,2.0,0,0,0,0,24,0,0,0,11,INFO,0,2,message_validation,0,10,success,0,11,/api/auth/flow,0,5,5
2025-09-16 13:37:02+00:00,INFO,x9y8z7w6v5u4,token_verification,3,user3,success,Token is valid and authenticated,203.0.113.3,/api/auth/flow,9,1758029822000,13,37,2,0,1,0,1,3405803779,1,2025-09-16 13:37:01+00:00,1000.0,2,1,1,0,0,0,3.0,0,0,0,0,32,0,0,0,11,INFO,0,1,RARE,1,10,success,0,11,/api/auth/flow,0,5,5
2025-09-16 13:37:03+00:00,INFO,x9y8z7w6v5u4,business_process,4,user3,success,Business process completed,203.0.113.3,/api/auth/flow,10,1758029823000,13,37,3,0,1,0,1,3405803779,1,2025-09-16 13:37:02+00:00,1000.0,3,1,1,0,0,0,4.0,0,0,0,0,26,0,0,0,11,INFO,0,2,business_process,0,10,success,0,11,/api/auth/flow,0,5,5
2025-09-16 13:37:04+00:00,INFO,x9y8z7w6v5u4,response_return,5,user3,success,Final response sent,203.0.113.3,/api/auth/flow,11,1758029824000,13,37,4,0,1,0,1,3405803779,1,2025-09-16 13:37:03+00:00,1000.0,4,1,1,0,0,0,5.0,0,0,0,0,19,0,0,0,11,INFO,0,2,response_return,0,10,success,0,11,/api/auth/flow,0,5,5
